id,user_id,name,mp3_ids
1,1,1_playlist_1,"832,84,419,637,83,441,854,793,553,630,488,203,299,309,1047,733,170"
2,1,1_playlist_2,"230,753,816,1015,472,764,925,515"
3,1,1_playlist_3,"242,770,653,217,624,366,985,239,406"
4,1,1_playlist_4,"1021,484,489,71,816,171,473,522,1233,600"
5,1,1_playlist_5,"163,945,364,747,124"
6,1,1_playlist_6,"815,1054,188,745,1079,1101"
7,1,1_playlist_7,"849,260,800,785"
8,1,1_playlist_8,"910,566,160,202,23,1183,652"
9,1,1_playlist_9,"728,176,678,1070,168,860,1068,843"
10,1,1_playlist_10,"1000,969,498,1117,1094,748,62,1093,856,677"
11,1,1_playlist_11,"1167,103,706,567,715,642,1085,1117,147,133,1232"
12,1,1_playlist_12,"216,226,149,821,1119,630,145,791,494,1094,571,924,773"
13,1,1_playlist_13,"1189,830,476,1073,1032,1204,217,72,889"
14,1,1_playlist_14,"1088,478,931,111,305,257,63,675,574,566,951,150,782"
15,1,1_playlist_15,"746,913,528,773,714"
16,1,1_playlist_16,"1153,762,200,1154,520,990,1136"
17,1,1_playlist_17,"832,1133,680,303,931,1050,1086,848,507,133,1059,580,262"
18,1,1_playlist_18,"493,715,46,535,459,1171,244,50,1037,489,703,1201,967"
19,1,1_playlist_19,"981,359,223,522"
20,1,1_playlist_20,"289,249,830,1016,163,578,694,839,207,1105"
21,1,1_playlist_21,"4,610,582,693"
22,1,1_playlist_22,"751,1119,39,465,584,857,1156,812,924,1049,367,516,714,152,1192,1164,581"
23,1,1_playlist_23,"1015,675,895,52,702,1056,451,425,2,213,563,715,281,21"
24,1,1_playlist_24,"458,153,635,307,185,679"
25,1,1_playlist_25,"859,343,167,460,934,775,197,929,673,720,669,711,1164,668,272,505,196,764"
26,1,1_playlist_26,"1097,883,342,363,824,888,576,960,150,962,675,667,1210,1003,1044,952,822,536"
27,1,1_playlist_27,"1176,525,553,1036,452,380,45,665,1072,709,1158,203,168,771,1027"
28,1,1_playlist_28,"324,146,679,48,266,800,481,1088,761,432,601,331,993,322,1222,195,1199,302"
29,1,1_playlist_29,"806,336,127,559,490,1079,1159"
30,1,1_playlist_30,"662,21,550,461,810,604,774,728,1016"
31,1,1_playlist_31,"75,540,235,895,840,995,930,790,610,983"
32,1,1_playlist_32,"874,1208,7,71,398,42,435,884,101"
33,1,1_playlist_33,"63,601,619,1144,1192,479,225,143,314,946,1180,1102,739"
34,1,1_playlist_34,"70,527,903,599,553,446,291,102,746,163"
35,1,1_playlist_35,"1137,918,1217,365,1213,714,588,311,33,466,1057,563,1157,330,28,135"
36,1,1_playlist_36,"1233,1148,648,1221,1016,171"
37,1,1_playlist_37,"364,617,722,994,985,59,527,904,75,596,1038,902"
38,1,1_playlist_38,"1192,1013,517,80,625,23,97,707,466,779,973,194"
39,1,1_playlist_39,"193,671,629,503,230,516,351,859,190,882,549,1177,35,46,615,1196,214,115"
40,1,1_playlist_40,"167,584,311,403,960,541,1210,770,468,514,1017,1084,1126,1157"
41,1,1_playlist_41,"371,389,206,1128,585,260,1234,919,836,515,723,72,235,760"
42,1,1_playlist_42,"701,285,668,156,844,11,363,1046"
43,1,1_playlist_43,"1070,1004,524,1166,914,127,766,364,405,841"
44,1,1_playlist_44,"30,205,609,514,540,1131,471,83,1182,468,15,758,603,827,950"
45,1,1_playlist_45,"789,159,1039,1083,50,680,663,903,201"
46,1,1_playlist_46,"801,608,71,61,893,199,256,724,475,535,24,57,733,355,310,123,302"
47,1,1_playlist_47,"1017,427,68,1200,1216,332,404,682,807,909,579,982,1053,479"
48,1,1_playlist_48,"98,619,1127,19,1087,680"
49,1,1_playlist_49,"471,139,622,1111,311,236,618,1216,728,54,908,1224,124"
50,1,1_playlist_50,"460,530,883,651,382,255,480,1228,1221,979,556,906,643"
51,1,1_playlist_51,"176,656,560,152,426,1054,514,456,1132,807,877,1022,687,697"
52,1,1_playlist_52,"1002,771,84,48,320,1053"
53,1,1_playlist_53,"1092,597,908,462,514,356,468,959,790,621,876,982"
54,1,1_playlist_54,"336,263,592,305,261,773,258,1178,1238,1221"
55,1,1_playlist_55,"345,271,946,429,291,102,743,692,97,544,673,402,912,508"
56,1,1_playlist_56,"342,448,416,83,512,393,944,1086,288,941,445,1009,826,243,709,981,470,607"
57,1,1_playlist_57,"1057,731,541,310,45,555,350,1025,517,825,774,856,970,967,575,452,410"
58,1,1_playlist_58,"1238,189,889,1216,383,825,476"
59,1,1_playlist_59,"345,1014,734,253,609,329,83,1189,685,260,680,908,1005,640,61,201,848,407,1099,1004"
